Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	Intact	Partially intact	Uncertain loss	Lost	Missing	ref_human	ref_mouse
Physeter catodon	sperm whale	9755	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Physeter	phyCat1	GCF_000472045.1	 14,284 	 1,664 	 772 	 943 	 767 	 17,238 	 16,943 
Physeter catodon	sperm whale	9755	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Physeter	HLphyCat2	GCF_002837175.2	 15,706 	 800 	 809 	 922 	 193 	 17,833 	 17,537 
Piliocolobus tephrosceles	Ugandan red Colobus	591936	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Piliocolobus	HLpilTep2	GCF_002776525.3	 16,997 	 754 	 349 	 234 	 96 	 18,949 	 18,731 
Pipistrellus kuhlii	Kuhl's pipistrelle	59472	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Pipistrellus	HLpipKuh2	Bat1K published	 16,995 	 80 	 497 	 709 	 149 	 18,081 	 17,983 
Pipistrellus pipistrellus	common pipistrelle	59474	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Pipistrellus	HLpipPip2	GCA_903992545.1	 14,990 	 371 	 1,025 	 1,270 	 774 	 16,888 	 16,907 
Pipistrellus pipistrellus	common pipistrelle	59474	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Pipistrellus	HLpipPip1	GCA_004026625.1	 12,252 	 3,370 	 683 	 791 	 1,334 	 16,747 	 15,674 
Pithecia pithecia	white-faced saki	43777	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Pithecia	HLpitPit1	GCA_004026645.1	 15,546 	 1,970 	 476 	 253 	 185 	 18,803 	 18,456 
Platanista minor	Indus River dolphin	48752	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Platanistidae; Platanista	HLplaMin1	GCA_004363435.1	 13,046 	 2,703 	 844 	 904 	 933 	 17,034 	 15,992 
Plecturocebus donacophilus	Bolivian titi	230833	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleDon1	GCA_004027715.1	 14,149 	 2,662 	 746 	 477 	 396 	 18,324 	 17,662 
Pongo abelii	Sumatran orangutan	9601	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo	ponAbe3	GCF_002880775.1	 17,869 	 39 	 372 	 136 	 14 	 19,221 	 19,264 
Pontoporia blainvillei	franciscana	48723	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Pontoporiidae; Pontoporia	HLponBla1	GCA_011754075.1	 7,593 	 5,131 	 1,511 	 860 	 3,335 	 14,595 	 12,430 
Potos flavus	kinkajou	29067	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Potos	HLpotFla1	DNA Zoo Consortium	 15,036 	 2,059 	 428 	 471 	 436 	 18,106 	 17,809 
Prionailurus bengalensis euptilurus	Amur leopard cat	300877	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Prionailurus; Prionailurus bengalensis	HLpriBen1	GCA_005406085.1	 16,302 	 1,060 	 468 	 370 	 230 	 18,399 	 18,260 
Procapra przewalskii	Przewalski's gazelle	157668	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Procapra	HLproPrz1	GCA_006410515.1	 12,561 	 3,707 	 696 	 549 	 917 	 17,484 	 17,193 
Procavia capensis	Cape rock hyrax	9813	Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Procavia	HLproCap3	GCA_004026925.2	 16,124 	 1,117 	 441 	 509 	 239 	 18,135 	 17,914 
Procavia capensis	Cape rock hyrax	9813	Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Procavia	HLproCap4	DNA Zoo Consortium	 15,116 	 1,957 	 536 	 403 	 418 	 18,041 	 17,822 
Procyon lotor	raccoon	9654	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Procyon	HLproLot1	DNA Zoo Consortium	 13,076 	 3,561 	 497 	 618 	 678 	 17,661 	 17,129 
Prolemur simus	greater bamboo lemur	1328070	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Prolemur	HLproSim1	GCA_003258685.1	 16,764 	 890 	 394 	 229 	 153 	 18,740 	 18,959 
Propithecus coquereli	Coquerel's sifaka	379532	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Propithecus	HLproCoq2	DNA Zoo Consortium	 14,431 	 2,660 	 771 	 244 	 324 	 18,530 	 18,637 
Propithecus coquereli	Coquerel's sifaka	379532	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Propithecus	proCoq1	GCF_000956105.1	 14,468 	 2,661 	 764 	 300 	 237 	 18,579 	 18,723 
Przewalskium albirostris	white-lipped deer	1088058	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Przewalskium	HLprzAlb1	GCA_006408465.1	 14,601 	 2,457 	 605 	 365 	 402 	 18,260 	 18,352 
Psammomys obesus	fat sand rat	48139	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Psammomys	HLpsaObe1	GCA_002215935.2	 16,519 	 316 	 569 	 642 	 384 	 17,885 	 20,661 
Pseudocheirus occidentalis	Western ringtail oppossum	656515	Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudocheirus	HLpseOcc1	DNA Zoo Consortium	 8,287 	 2,690 	 780 	 948 	 5,725 	 11,961 	 8,995 
Pseudochirops corinnae	golden ringtail possum	65629	Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudochirops	HLpseCor1	DNA Zoo Consortium	 8,876 	 2,755 	 760 	 906 	 5,133 	 12,588 	 9,668 
Pseudochirops cupreus	coppery ringtail possum	37702	Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudochirops	HLpseCup1	DNA Zoo Consortium	 9,657 	 2,532 	 714 	 949 	 4,578 	 13,117 	 10,412 
Pseudomys desertor	brown desert mouse	221914	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Pseudomys	HLpseDes1	DNA Zoo Consortium	 10,369 	 391 	 5,600 	 1,626 	 444 	 16,768 	 19,592 
Pteronotus parnellii	Parnell's mustached bat	59476	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Mormoopidae; Pteronotus	ptePar1	GCA_000465405.1	 7,354 	 4,853 	 1,407 	 804 	 4,012 	 13,983 	 12,885 
Pteronura brasiliensis	giant otter	9672	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Pteronura	HLpteBra2	DNA Zoo Consortium	 16,567 	 821 	 428 	 452 	 162 	 18,403 	 18,243 
Pteronura brasiliensis	giant otter	9672	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Pteronura	HLpteBra1	GCA_004024605.1	 16,767 	 678 	 438 	 392 	 155 	 18,474 	 18,308 
Pteropus alecto	black flying fox	9402	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	pteAle1	GCF_000325575.1	 14,114 	 2,171 	 805 	 624 	 716 	 17,605 	 17,596 
Pteropus giganteus	Indian flying fox	143291	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	HLpteGig1	GCA_902729225.1	 16,400 	 535 	 901 	 468 	 126 	 18,387 	 18,676 
Pteropus pselaphon	Bonin flying fox	1496133	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	HLptePse1	GCA_014363405.1	 17,101 	 280 	 378 	 509 	 162 	 18,299 	 18,382 
Pteropus rufus	Malagasy flying fox	196297	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	HLpteRuf1	DNA Zoo Consortium	 16,281 	 894 	 412 	 601 	 242 	 18,123 	 18,002 
Pteropus vampyrus	large flying fox	132908	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	HLpteVam2	GCF_000151845.1	 13,501 	 3,207 	 567 	 541 	 614 	 17,795 	 17,738 
Puma concolor	puma	9696	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Puma	HLpumCon1	GCF_003327715.1	 12,508 	 3,201 	 772 	 626 	 1,323 	 16,996 	 16,928 
Puma yagouaroundi	jaguarundi	1608482	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Puma	HLpumYag1	GCA_014898765.1	 16,314 	 836 	 523 	 409 	 348 	 18,246 	 18,390 
Pygathrix nemaeus	Red shanked douc langur	54133	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Pygathrix	HLpygNem1	GCA_004024825.1	 15,386 	 2,110 	 434 	 259 	 241 	 18,781 	 18,356 
Rangifer tarandus	reindeer	9870	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Rangifer	HLranTar1	GCA_004026565.1	 16,164 	 1,129 	 431 	 403 	 303 	 18,296 	 18,212 
Rangifer tarandus granti	reindeer	191431	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Rangifer; Rangifer tarandus	HLranTarGra2	GCA_014898785.1	 17,007 	 448 	 456 	 376 	 143 	 18,494 	 18,770 
Raphicerus campestris	steenbok	59544	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Raphicerus	HLrapCam1	GCA_006410735.1	 10,929 	 2,505 	 2,953 	 1,211 	 832 	 16,909 	 16,429 
Rattus norvegicus	Norway rat	10116	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus	HLratNor7	GCA_015227675.1	 17,118 	 65 	 529 	 615 	 103 	 18,230 	 21,392 
Rattus norvegicus	Norway rat	10116	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus	rn6	GCF_000001895.5	 16,063 	 342 	 1,209 	 578 	 238 	 18,116 	 21,235 
Rattus rattus	black rat	10117	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus	HLratRat7	GCF_011064425.1	 15,902 	 153 	 1,221 	 727 	 427 	 17,760 	 20,934 
Redunca redunca	Bohar reedbuck	59556	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Reduncinae; Redunca	HLredRed1	GCA_006410935.1	 11,654 	 3,270 	 1,172 	 588 	 1,746 	 16,648 	 15,809 
Rhinoceros unicornis	greater Indian rhinoceros	9809	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Rhinoceros	HLrhiUni1	DNA Zoo Consortium	 16,468 	 1,112 	 475 	 259 	 116 	 18,708 	 19,022 
Rhinolophus ferrumequinum	greater horseshoe bat	59479	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Rhinolophidae; Rhinolophinae; Rhinolophus	HLrhiFer5	Bat1K published	 17,399 	 65 	 390 	 451 	 125 	 18,402 	 18,518 
Rhinolophus sinicus	Chinese rufous horseshoe bat	89399	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Rhinolophidae; Rhinolophinae; Rhinolophus	HLrhiSin1	GCF_001888835.1	 16,262 	 696 	 615 	 523 	 334 	 18,099 	 18,002 
Rhinopithecus bieti	black snub-nosed monkey	61621	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus	rhiBie1	GCF_001698545.1	 14,034 	 1,334 	 2,405 	 455 	 202 	 18,629 	 18,296 
Rhinopithecus roxellana	golden snub-nosed monkey	61622	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus	HLrhiRox2	GCF_007565055.1	 17,612 	 112 	 544 	 149 	 13 	 19,207 	 19,079 
Rhizomys pruinosus	hoary bamboo rat	53275	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Rhizomyinae; Rhizomys	HLrhiPru1	GCA_009823505.1	 15,602 	 777 	 1,222 	 560 	 269 	 18,138 	 20,029 
Rhombomys opimus	great gerbil	186474	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Rhombomys	HLrhoOpi1	GCA_010120015.1	 16,007 	 874 	 503 	 638 	 408 	 17,851 	 20,485 
Rousettus aegyptiacus	Egyptian rousette	9407	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Rousettus	HLrouAeg4	Bat1K published	 17,350 	 55 	 436 	 539 	 50 	 18,371 	 18,509 
Rousettus leschenaultii	Leschenault's rousette	9408	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Rousettus	HLrouLes1	GCA_015472975.1	 17,003 	 384 	 429 	 499 	 115 	 18,331 	 18,355 
Rousettus madagascariensis	Madagascan rousette	77223	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Rousettus	HLrouMad1	DNA Zoo Consortium	 14,102 	 2,369 	 588 	 773 	 598 	 17,532 	 17,219 
Saguinus imperator	tamarin	9491	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus	HLsagImp1	GCA_004024885.1	 15,513 	 1,831 	 548 	 301 	 237 	 18,665 	 18,141 
Saiga tatarica	-	34875	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Saiga	HLsaiTat1	GCA_004024985.1	 6,906 	 6,142 	 848 	 778 	 3,756 	 14,290 	 11,658 
Saimiri boliviensis	Bolivian squirrel monkey	27679	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Saimiriinae; Saimiri	HLsaiBol1	DNA Zoo Consortium	 14,004 	 3,052 	 617 	 442 	 315 	 18,422 	 17,719 
Saimiri boliviensis boliviensis	Bolivian squirrel monkey	39432	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Saimiriinae; Saimiri; Saimiri boliviensis	saiBol1	GCF_000235385.1	 14,842 	 2,279 	 452 	 318 	 539 	 18,298 	 18,117 
Sapajus apella	Tufted capuchin	9515	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Sapajus	HLsapApe1	GCF_009761245.1	 17,302 	 476 	 412 	 191 	 49 	 19,000 	 18,954 
Sarcophilus harrisii	Tasmanian devil	9305	Mammalia; Theria; Metatheria; Dasyuromorphia; Dasyuridae; Sarcophilus	HLsarHar2	GCF_902635505.1	 12,969 	 48 	 939 	 1,696 	 2,778 	 14,184 	 11,669 
Scalopus aquaticus	eastern mole	71119	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Scalopus	HLscaAqu1	GCA_004024925.1	 15,953 	 860 	 462 	 609 	 546 	 17,721 	 17,233 
Sciurus carolinensis	gray squirrel	30640	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Sciurus	HLsciCar1	GCA_902686445.1	 16,859 	 59 	 1,086 	 413 	 13 	 18,678 	 19,562 
Sciurus vulgaris	Eurasian red squirrel	55149	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Sciurus	HLsciVul1	GCA_902686455.1	 17,254 	 58 	 819 	 290 	 9 	 18,791 	 19,700 
Semnopithecus entellus	Hanuman langur	88029	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Semnopithecus	HLsemEnt1	GCA_004025065.1	 13,173 	 3,760 	 588 	 411 	 498 	 18,346 	 17,310 
Sigmodon hispidus	hispid cotton rat	42415	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Sigmodontinae; Sigmodon	HLsigHis1	GCA_004025045.1	 16,137 	 768 	 413 	 608 	 504 	 17,796 	 20,811 
Solenodon paradoxus	Hispaniolan solenodon	79805	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Solenodontidae; Solenodon	HLsolPar1	GCA_004363575.1	 16,285 	 685 	 571 	 560 	 329 	 17,996 	 17,695 
Sorex araneus	European shrew	42254	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Soricidae; Soricinae; Sorex	sorAra2	GCF_000181275.1	 12,919 	 2,695 	 506 	 825 	 1,485 	 16,475 	 15,782 
Sousa chinensis	Indo-pacific humpbacked dolphin	103600	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Sousa	HLsouChi1	GCA_007760645.1	 15,826 	 301 	 1,039 	 1,055 	 209 	 17,661 	 17,459 
Spermophilus dauricus	Daurian ground squirrel	99837	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Spermophilus	HLspeDau1	GCA_002406435.1	 12,229 	 2,178 	 2,641 	 596 	 786 	 17,637 	 18,406 
Spilogale gracilis	western spotted skunk	30551	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mephitidae; Spilogale	HLspiGra1	GCA_004023965.1	 15,802 	 1,483 	 390 	 415 	 340 	 18,209 	 17,882 
Steno bredanensis	rough-toothed dolphin	46167	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Steno	HLsteBre1	DNA Zoo Consortium	 15,141 	 1,223 	 692 	 1,029 	 345 	 17,535 	 17,222 
Sturnira hondurensis	-	192404	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Stenodermatinae; Sturnira	HLstuHon1	GCA_014824575.1	 16,463 	 129 	 492 	 746 	 600 	 17,569 	 17,660 
Suricata suricatta	meerkat	37032	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Suricata	HLsurSur1	GCF_006229205.1	 14,883 	 1,844 	 429 	 577 	 697 	 17,707 	 17,652 
Suricata suricatta	meerkat	37032	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Suricata	HLsurSur2	GCA_004023905.1	 16,098 	 1,109 	 450 	 523 	 250 	 18,180 	 17,903 
Sus scrofa	pig	9823	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Suidae; Sus	susScr11	GCF_000003025.6	 16,324 	 62 	 1,640 	 387 	 17 	 18,664 	 19,003 
Sylvicapra grimmia	bush duiker	119562	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Sylvicapra	HLsylGri1	GCA_006408735.1	 10,850 	 4,657 	 1,509 	 520 	 894 	 17,567 	 17,076 
Sylvilagus bachmani	brush rabbit	365149	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Sylvilagus	HLsylBac1	DNA Zoo Consortium	 15,460 	 1,531 	 414 	 598 	 427 	 17,929 	 17,836 
Syncerus caffer	African buffalo	9970	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Syncerus	HLsynCaf1	GCA_902500845.1	 15,565 	 137 	 2,312 	 383 	 33 	 18,624 	 18,997 
Tachyglossus aculeatus	Australian echidna	9261	Mammalia; Prototheria; Monotremata; Tachyglossidae; Tachyglossus	HLtacAcu1	GCA_015852505.1	 8,748 	 57 	 1,070 	 2,694 	 5,861 	 9,989 	 7,070 
Tadarida brasiliensis	Brazilian free-tailed bat	9438	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Molossidae; Tadarida	HLtadBra1	GCA_004025005.1	 12,734 	 3,557 	 588 	 672 	 879 	 17,350 	 16,886 
Talpa occidentalis	Iberian mole	50954	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Talpa	HLtalOcc1	GCA_014898055.1	 16,711 	 148 	 969 	 514 	 88 	 18,343 	 18,437 
Tamandua tetradactyla	southern tamandua	48850	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Vermilingua; Myrmecophagidae; Tamandua	HLtamTet1	GCA_004025105.1	 12,705 	 3,507 	 628 	 504 	 1,086 	 17,144 	 16,103 
Tapirus indicus	Asiatic tapir	9802	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Tapiridae; Tapirus	HLtapInd1	GCA_004024905.1	 17,123 	 655 	 366 	 183 	 103 	 18,788 	 19,350 
Tapirus indicus	Asiatic tapir	9802	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Tapiridae; Tapirus	HLtapInd2	DNA Zoo Consortium	 16,472 	 1,094 	 409 	 280 	 175 	 18,617 	 18,998 
Tapirus terrestris	Brazilian tapir	9801	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Tapiridae; Tapirus	HLtapTer1	GCA_004025025.1	 16,351 	 1,253 	 396 	 236 	 194 	 18,654 	 19,133 
Tapirus terrestris	Brazilian tapir	9801	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Tapiridae; Tapirus	HLtapTer2	DNA Zoo Consortium	 14,684 	 2,481 	 495 	 298 	 472 	 18,276 	 18,379 
Taxidea taxus jeffersonii	American badger	2282171	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Taxidiinae; Taxidea; Taxidea taxus	HLtaxTax1	GCA_003697995.1	 13,708 	 3,105 	 509 	 429 	 679 	 17,895 	 17,115 
Theropithecus gelada	gelada	9565	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Theropithecus	HLtheGel1	GCF_003255815.1	 17,534 	 314 	 288 	 106 	 188 	 18,997 	 19,161 
Thryonomys swinderianus	Greater cane rat	10169	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Thryonomyidae; Thryonomys	HLthrSwi1	GCA_004025085.1	 13,366 	 2,773 	 693 	 755 	 843 	 17,266 	 16,804 
Thylacinus cynocephalus	Tasmanian wolf	9275	Mammalia; Theria; Metatheria; Dasyuromorphia; Thylacinidae; Thylacinus	HLthyCyn1	GCA_007646695.1	 4,697 	 4,003 	 386 	 294 	 9,050 	 9,192 	 6,019 
Tolypeutes matacus	-	183749	Mammalia; Theria; Eutheria; Xenarthra; Cingulata; Chlamyphoridae; Tolypeutes	HLtolMat1	GCA_004025125.1	 3,951 	 2,778 	 496 	 798 	 10,407 	 7,395 	 7,145 
Tonatia saurophila	stripe-headed round-eared bat	171122	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Tonatia	HLtonSau1	GCA_004024845.1	 16,029 	 1,001 	 470 	 631 	 299 	 17,994 	 17,792 
Trachypithecus francoisi	Francois's langur	54180	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Trachypithecus	HLtraFra1	GCF_009764315.1	 17,182 	 90 	 840 	 236 	 82 	 19,034 	 18,942 
Tragelaphus imberbis	lesser kudu	9947	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Tragelaphus	HLtraImb1	GCA_006410775.1	 10,656 	 3,307 	 2,237 	 1,232 	 998 	 16,710 	 15,856 
Tragelaphus scriptus	bushbuck	66440	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Tragelaphus	HLtraScr1	GCA_006410495.1	 11,647 	 3,532 	 1,680 	 590 	 981 	 17,403 	 17,023 
